"Run","Runtime","RAMIdle","CPUIdle","AverageRAMUsage","AverageCPUUsage"
"Run_1","211.4681427","36.9621540738647","100","37.10459056717735","83.26004535756648"
"Run_10","141.8609651","34.101860745368","28.9831115783388","35.170906346963065","52.060175504807916"
"Run_2","123.8372615","35.4531706393355","7.99522087282705","36.495320228807174","52.62373607647847"
"Run_3","177.4684086","35.1888801518802","7.41368956002689","36.40202560437164","66.7680972161615"
"Run_4","115.4649391","35.5148267782095","11.4553941657217","36.37210766389938","57.030173689741225"
"Run_5","141.8149962","34.9351892096305","6.49872259474493","35.88082770887382","52.855459564952746"
"Run_6","139.6941435","34.7464546642142","2.16955746203658","35.535957837531264","51.778244631843954"
"Run_7","119.0301218","34.046766239695","7.52841959904322","35.24483934281396","52.70849068077295"
"Run_8","131.0245052","34.1277967053763","4.07873561761241","35.32046360499523","50.4579760020751"
"Run_9","119.3183394","34.1506265416161","9.73058027125351","35.30257468112936","50.68078229409512"
