Metric,Average,Median,StdDev
Runtime,134.39,131.02,18.07
RAM Idle,34.70,34.75,0.57
CPU Idle,9.54,7.53,7.35
Average RAM Usage,35.75,35.54,0.52
Average CPU Usage,54.11,52.62,4.82
