Metric,Average,Median,StdDev
Runtime,114.15,115.00,6.72
RAM Idle,34.65,35.13,1.39
CPU Idle,7.69,7.61,1.13
Average RAM Usage,36.68,36.94,0.99
Average CPU Usage,59.62,62.00,5.20
