"Run","Runtime","RAMIdle","CPUIdle","AverageRAMUsage","AverageCPUUsage"
"Run_1","110.9687056","36.2896052273665","8.40249783097114","37.49996583935253","58.3895272153654"
"Run_10","124.53347","32.2883627918289","7.33244049581246","36.78561287956496","63.72017449279746"
"Run_2","119.0278454","35.6000116410665","7.17757527034383","37.24198100605882","64.36195775449545"
"Run_3","119.1419868","35.2817137807798","5.26890937312232","37.07749181682611","63.047037346915324"
"Run_4","119.3156627","35.145317049498","25.9828661190912","36.92417406918435","64.75462363853127"
"Run_5","119.1584115","35.0885918445626","7.37021018985228","36.94608130886827","62.000273182036295"
"Run_6","110.8779332","35.0049600552313","7.60881562681333","36.86538062324069","57.63917066415607"
"Run_7","110.6462573","35.1329702965759","9.70805195995698","34.128469447508216","54.20913708830267"
"Run_8","103.9404418","31.9885074002641","8.46112615230996","33.61682042975659","48.419421041035775"
"Run_9","103.8686121","31.7743028122406","7.88447906805622","33.621251852861896","47.22553332734193"
