"Run","Runtime","RAMIdle","CPUIdle","AverageRAMUsage","AverageCPUUsage"
"Run_1","28.8110592","35.8281548684063","26.4670730444703","36.918746286596196","57.60268540524764"
"Run_10","26.7023331","35.007755536355","5.19983615572073","36.08623315987988","51.057927636659265"
"Run_2","28.7366042","35.4734767776619","9.91049203534192","36.56465577968194","49.996601705072294"
"Run_3","28.7685199","35.2098075056471","9.98942694265527","36.38298502107687","50.23701587893551"
"Run_4","28.6816946","35.2010327706116","5.30163047495159","36.39422134257099","50.252038289132976"
"Run_5","28.800351","35.2218436624906","4.94726960689133","36.35058060203458","47.65641025407153"
"Run_6","28.704232","35.1785911794702","11.038789686911","36.32703893732443","48.92853494525278"
"Run_7","26.695406","34.9684245034513","6.89671404490131","36.117066774012365","51.25694853663399"
"Run_8","28.7539187","35.0090756395387","9.93070262255189","36.13191874918185","47.871064346580646"
"Run_9","26.6254938","34.9725012748904","5.01784792491714","36.13239206283642","51.60708368698259"
