"Run","Runtime","RAMIdle","CPUIdle","AverageRAMUsage","AverageCPUUsage"
"Run_1","87.456539","39.4669151491176","51.7860200112279","41.13874231816554","87.96814376424703"
"Run_10","68.3463338","35.5870048365525","9.80742828508715","38.846893686779254","74.53162535117131"
"Run_2","85.4958376","39.1896566700166","45.5117363360871","40.987468807567105","88.77188278907985"
"Run_3","87.393159","38.9353056994582","35.496237108488","40.92275261651377","89.03241051164615"
"Run_4","89.5637726","38.9320442776503","38.2122465048331","40.93052035896607","88.84733794423674"
"Run_5","87.2849953","38.9133300257179","62.7264183716017","40.80456812722325","88.25734189187934"
"Run_6","89.3135835","38.9350339162478","42.6713139799292","40.934076490923644","88.19685307605704"
"Run_7","72.71804","38.7928520652449","32.9122661689801","40.798983387058975","83.67814833557989"
"Run_8","57.9928915","36.6586490386768","17.3672604971443","37.824717400859804","64.69498076182697"
"Run_9","55.1572184","35.7776807005931","8.60919504603722","37.585345008347225","61.8265909860124"
