Metric,Average,Median,StdDev
Runtime,83.45,87.34,7.63
RAM Idle,38.73,38.93,0.81
CPU Idle,34.51,36.85,16.95
Average RAM Usage,40.67,40.93,0.70
Average CPU Usage,86.16,88.23,4.68
